Date ;CAC Index                                                       ;SPX Index;UKX Index;DAX Index                                                       ;NKY Index                                                       ;INDU Index                                                       ;EUR curncy;EURJPY curncy;EURGBP curncy;GSEACII Index;GSUSCII Index;GSJPCII Index;GOLDS Comdty;CL1 COMB Comdty    ;EUR003M Index;US0003M Index;BP0003M Index;JY0003 Index
16/11/2017;5336,39;2196,24556;8277,28801;13047,22;168,20295;19925,55795;1,177;133,07;0,89208;#N/A;#N/A;#N/A;1086,12924;46,83598;-0,329;1,43567;0,52525;-0,03057
15/11/2017;5301,25;2173,77532;8234,3516;12976,37;165,12985;19724,76631;1,1791;133,09;0,89517;#N/A;#N/A;#N/A;1083,3107;46,89778;-0,329;1,4219;0,52625;-0,03807
14/11/2017;5315,58;2188,82203;8293,55289;13033,48;167,49039;19868,8429;1,1798;133,85;0,8961;#N/A;#N/A;#N/A;1086,74251;47,27551;-0,329;1,41899;0,526;-0,03807
13/11/2017;5341,63;2216,27376;8337,07088;13074,42;168,89401;20097,48711;1,1667;132,57;0,8896;#N/A;#N/A;#N/A;1096,0902;48,66672;-0,329;1,41586;0,52875;-0,03879
10/11/2017;5380,72;2214,85552;8412,24;13127,47;171,40089;20089,3824;1,1665;132,39;0,88414;#N/A;#N/A;#N/A;1093,97888;48,66627;-0,329;1,41289;0,52813;-0,04164
09/11/2017;5407,75;2220,46402;8451,76081;13182,56;173,55706;20156,30537;1,1642;132,1;0,88556;#N/A;#N/A;#N/A;1104,05928;49,11512;-0,329;1,41289;0,52813;-0,04521
08/11/2017;5471,43;2237,69181;8514,28601;13382,42;173,69938;20323,75313;1,1595;132,03;0,884;#N/A;#N/A;#N/A;1105,18369;48,99948;-0,329;1,40981;0,52519;-0,0475
07/11/2017;5480,64;2236,58801;8532,7601;13379,27;173,93776;20337,76264;1,1587;132,1;0,88003;#N/A;#N/A;#N/A;1101,023;49,38272;-0,329;1,40258;0,52322;-0,0475
06/11/2017;5507,25;2231,42429;8565,20011;13468,79;170,574;20279,38333;1,161;132,01;0,88146;#N/A;#N/A;#N/A;1104,09486;49,38856;-0,329;1,39703;0,52688;-0,0475
03/11/2017;5517,97;2230,31982;8511,66537;13478,86;#N/A;20287,15802;1,1608;132,42;0,88771;#N/A;#N/A;#N/A;1094,30749;47,95312;-0,329;1,39194;0,52413;-0,0475
02/11/2017;5510,5;2213,32369;8462,1397;13440,93;169,48834;20175,24002;1,1658;133,01;0,89274;#N/A;#N/A;#N/A;1094,77518;46,79135;-0,329;1,39139;0,465;-0,04693
01/11/2017;5514,29;2218,23195;8540,18963;13465,51;169,25136;20153,94717;1,1619;132,68;0,87723;0,92879;1,39319;1,20399;1096,21177;46,69763;-0,329;1,38483;0,45075;-0,04443
31/10/2017;5503,29;2210,90317;8538,43165;#N/A;166,23267;20069,74608;1,1646;132,34;0,87674;#N/A;#N/A;#N/A;1091,2388;46,68613;-0,331;1,38122;0,4396;-0,04407
30/10/2017;5493,63;2212,23566;8494,76921;13229,57;167,27025;20076,30287;1,1651;131,87;0,88211;#N/A;#N/A;#N/A;1097,46344;46,56062;-0,331;1,37678;0,43306;-0,04407
27/10/2017;5494,13;2226,98021;8489,94353;13217,54;166,6009;20219,31791;1,1608;131,97;0,88418;#N/A;#N/A;#N/A;1099,11562;46,50561;-0,331;1,38009;0,42786;-0,03264
26/10/2017;5455,4;2191,7479;8443,94145;13133,28;163,6156;20031,55228;1,1651;132,79;0,88536;#N/A;#N/A;#N/A;1084,54885;45,06078;-0,331;1,37796;0,4224;-0,03593
25/10/2017;5374,89;2164,69136;8351,23934;12953,41;161,7467;19748,97227;1,1813;134,37;0,89087;#N/A;#N/A;#N/A;1081,36378;44,17168;-0,331;1,37446;0,41632;-0,03629
24/10/2017;5394,8;2183,89143;8402,41842;13013,19;162,77779;19926,6914;1,1761;133,96;0,89556;#N/A;#N/A;#N/A;1085,37484;44,60218;-0,33;1,37064;0,4043;-0,03486
23/10/2017;5386,81;2183,891;8456,59792;13003,14;162,47225;19816,0587;1,1749;133,28;0,89021;#N/A;#N/A;#N/A;1091,73264;44,18902;-0,329;1,36742;0,39976;-0,037
20/10/2017;5372,38;2185,3445;8422,13594;12991,28;160,58851;19796,86936;1,1784;133,77;0,89312;#N/A;#N/A;#N/A;1086,64291;43,67787;-0,329;1,36476;0,39141;-0,03557
19/10/2017;5368,29;2164,8501;8366,5613;12990,1;161,00708;19571,64264;1,1852;133,38;0,90068;#N/A;#N/A;#N/A;1090,06757;43,33756;-0,329;1,3625;0,39173;-0,037
18/10/2017;5383,81;2172,95326;8441,33365;13043,03;160,57631;19646,72912;1,1787;133,12;0,89262;#N/A;#N/A;#N/A;1086,83724;44,15034;-0,329;1,36261;0,38313;-0,03707
17/10/2017;5361,37;2178,92058;8433,13497;12995,06;161,77933;19578,95407;1,1766;132,02;0,89205;#N/A;#N/A;#N/A;1093,66166;44,16823;-0,329;1,35733;0,38375;-0,03429
16/10/2017;5362,88;2165,47277;8466,32794;13003,7;161,0273;19436,93247;1,1796;132,35;0,8901;#N/A;#N/A;#N/A;1096,49475;43,91669;-0,329;1,35389;0,37875;-0,03414
13/10/2017;5351,74;2158,76378;8472,67104;12991,87;159,87835;19338,5649;1,182;132,21;0,88977;#N/A;#N/A;#N/A;1103,04807;43,50216;-0,329;1,35333;0,37375;-0,0375
12/10/2017;5360,81;2155,41186;8457,75364;12982,89;157,60834;19299,54353;1,183;132,83;0,89191;#N/A;#N/A;#N/A;1093,11783;42,75454;-0,329;1,35917;0,37;-0,04057
11/10/2017;5362,41;2157,04878;8401,92172;12970,68;156,79839;19308,53505;1,1859;133,41;0,89685;#N/A;#N/A;#N/A;1090,40177;43,30576;-0,329;1,35861;0,37063;-0,04236
10/10/2017;5363,65;2161,19293;8437,5993;12949,25;157,25536;19344,75486;1,1808;132,78;0,89433;#N/A;#N/A;#N/A;1091,36165;43,14523;-0,329;1,35667;0,36275;-0,04379
09/10/2017;5365,83;2165,72764;8399,25241;12976,4;#N/A;19371,12367;1,174;132,3;0,89345;#N/A;#N/A;#N/A;1092,64939;42,19575;-0,329;1,35639;0,35438;-0,04929
06/10/2017;5359,9;2174,45418;8376,92506;12955,94;156,58031;19424,82934;1,173;132,16;0,89814;#N/A;#N/A;#N/A;1088,8775;42,04197;-0,329;1,35028;0,3435;-0,04929
05/10/2017;5379,21;2179,57987;8421,72207;12968,05;156,24065;19451,18338;1,1711;132,13;0,89274;#N/A;#N/A;#N/A;1082,42808;43,37689;-0,329;1,34861;0,3435;-0,0525
04/10/2017;5363,23;2157,39181;8426,18298;12970,52;155,42638;19265,18798;1,1759;132,6;0,88764;#N/A;#N/A;#N/A;1083,87313;42,48916;-0,329;1,34667;0,33938;-0,05107
03/10/2017;5367,41;2156,53882;8418,06513;#N/A;155,44989;19264,5877;1,1744;132,53;0,88712;#N/A;#N/A;#N/A;1081,97909;42,89968;-0,33;1,3425;0,33563;-0,05086
02/10/2017;5350,44;2153,72572;8408,04916;12902,65;154,16377;19209,40101;1,1733;132,31;0,88378;0,89415;1,47322;1,33697;1082,2831;43,07247;-0,329;1,33556;0,33563;-0,05086
29/09/2017;5329,81;2134,50827;8367,2047;12828,86;153,14064;18982,53821;1,1814;132,92;0,882;#N/A;#N/A;#N/A;1084,59716;43,777;-0,329;1,33389;0,335;-0,05121
